StartDate,EndDate,Progress,Duration (in seconds),ResponseId,consent,english_check,age,gender_raw,gender,party_affil,use_twitter,interact_senator,REF_1,REF_2,REF_3,REF_4,REF_5,REF_6,REF_7,REF_8,REF_9,REF_10,REF_11,REF_12,REF_13,REF_14,REF_15,REF_16,REF_17,REF_18,REF_19,REF_20,REF_21,REF_22,REF_23,REF_24,REF_25,RDF_1,RDF_2,RDF_3,RDF_4,RDF_5,RDF_6,RDF_7,RDF_8,RDF_9,RDF_10,RDF_11,RDF_12,RDF_13,RDF_14,RDF_15,RDF_16,RDF_17,RDF_18,RDF_19,RDF_20,RDF_21,RDF_22,RDF_23,RDF_24,RDF_25,RDF_26,RDF_27,RDF_28,RDF_29,RDF_30,RDF_31,RDF_32,RDF_33,RDF_34,RDF_35,RDF_36,RDF_37,RDF_38,RDF_39,RDF_40,RDF_41,RDF_42,RDF_43,RDF_44,RDF_45,RDF_46,RDF_47,RDF_48,RDF_49,RDF_50,RDF_51,RDF_52,RDF_53,DEF_1,DEF_2,DEF_3,DEF_4,DEF_5,DEF_6,DEF_7,DEF_8,DEF_9,DEF_10,DEF_11,DEF_12,DEF_13,DEF_14,DEF_15,DEF_16,DEF_17,DEF_18,DEF_19,DEF_20,DEF_21,DEF_22,DEF_23,DEF_24,DEF_25,DEF_26,DEF_27,DEF_28,DDF_1,DDF_2,DDF_3,DDF_4,DDF_5,DDF_6,DDF_7,DDF_8,DDF_9,DDF_10,DDF_11,DDF_12,DDF_13,DDF_14,DDF_15,DDF_16,DDF_17,DDF_18,DDF_19,DDF_20,DDF_21,DDF_22,DDF_23,DDF_24,DDF_25,DDF_26,DDF_27,DDF_28,DDF_29,DDF_30,DDF_31,DDF_32,DDF_33,DDF_34,DDF_35,DDF_36,DDF_37,DDF_38,DDF_39,DDF_40,DDF_41,DDF_42,DDF_43,DDF_44,DDF_45,DDF_46,DDF_47,DDF_48,DDF_49,DDF_50,DDF_51,DDF_52,DDF_53,DDF_54,DDF_55,DDF_56,DDF_57,DDF_58,DDF_59,DDF_60,DDF_61,DDF_62,DDF_63,DDF_64,DDF_65,REL_1,RER_1,REL_2,RER_2,REL_3,RER_3,REL_4,RER_4,REL_5,RER_5,REL_6,RER_6,REL_7,RER_7,REL_8,RER_8,REL_9,RER_9,REL_10,RER_10,REL_11,RER_11,REL_12,RER_12,REL_13,RER_13,REL_14,RER_14,REL_15,RER_15,REL_16,RER_16,REL_17,RER_17,REL_18,RER_18,REL_19,RER_19,REL_20,RER_20,REL_21,RER_21,REL_22,RER_22,REL_23,RER_23,REL_24,RER_24,REL_25,RER_25,RDL_1,RDR_1,RDL_2,RDR_2,RDL_3,RDR_3,RDL_4,RDR_4,RDL_5,RDR_5,RDL_6,RDR_6,RDL_7,RDR_7,RDL_8,RDR_8,RDL_9,RDR_9,RDL_10,RDR_10,RDL_11,RDR_11,RDL_12,RDR_12,RDL_13,RDR_13,RDL_14,RDR_14,RDL_15,RDR_15,RDL_16,RDR_16,RDL_17,RDR_17,RDL_18,RDR_18,RDL_19,RDR_19,RDL_20,RDR_20,RDL_21,RDR_21,RDL_22,RDR_22,RDL_23,RDR_23,RDL_24,RDR_24,RDL_25,RDR_25,RDL_26,RDR_26,RDL_27,RDR_27,RDL_28,RDR_28,RDL_29,RDR_29,RDL_30,RDR_30,RDL_31,RDR_31,RDL_32,RDR_32,RDL_33,RDR_33,RDL_34,RDR_34,RDL_35,RDR_35,RDL_36,RDR_36,RDL_37,RDR_37,RDL_38,RDR_38,RDL_39,RDR_39,RDL_40,RDR_40,RDL_41,RDR_41,RDL_42,RDR_42,RDL_43,RDR_43,RDL_44,RDR_44,RDL_45,RDR_45,RDL_46,RDR_46,RDL_47,RDR_47,RDL_48,RDR_48,RDL_49,RDR_49,RDL_50,RDR_50,RDL_51,RDR_51,RDL_52,RDR_52,RDL_53,RDR_53,DEL_1,DER_1,DEL_2,DER_2,DEL_3,DER_3,DEL_4,DER_4,DEL_5,DER_5,DEL_6,DER_6,DEL_7,DER_7,DEL_8,DER_8,DEL_9,DER_9,DEL_10,DER_10,DEL_11,DER_11,DEL_12,DER_12,DEL_13,DER_13,DEL_14,DER_14,DEL_15,DER_15,DEL_16,DER_16,DEL_17,DER_17,DEL_18,DER_18,DEL_19,DER_19,DEL_20,DER_20,DEL_21,DER_21,DEL_22,DER_22,DEL_23,DER_23,DEL_24,DER_24,DEL_25,DER_25,DEL_26,DER_26,DEL_27,DER_27,DEL_28,DER_28,DDL_1,DDR_1,DDL_2,DDR_2,DDL_3,DDR_3,DDL_4,DDR_4,DDL_5,DDR_5,DDL_6,DDR_6,DDL_7,DDR_7,DDL_8,DDR_8,DDL_9,DDR_9,DDL_10,DDR_10,DDL_11,DDR_11,DDL_12,DDR_12,DDL_13,DDR_13,DDL_14,DDR_14,DDL_15,DDR_15,DDL_16,DDR_16,DDL_17,DDR_17,DDL_18,DDR_18,DDL_19,DDR_19,DDL_20,DDR_20,DDL_21,DDR_21,DDL_22,DDR_22,DDL_23,DDR_23,DDL_24,DDR_24,DDL_25,DDR_25,DDL_26,DDR_26,DDL_27,DDR_27,DDL_28,DDR_28,DDL_29,DDR_29,DDL_30,DDR_30,DDL_31,DDR_31,DDL_32,DDR_32,DDL_33,DDR_33,DDL_34,DDR_34,DDL_35,DDR_35,DDL_36,DDR_36,DDL_37,DDR_37,DDL_38,DDR_38,DDL_39,DDR_39,DDL_40,DDR_40,DDL_41,DDR_41,DDL_42,DDR_42,DDL_43,DDR_43,DDL_44,DDR_44,DDL_45,DDR_45,DDL_46,DDR_46,DDL_47,DDR_47,DDL_48,DDR_48,DDL_49,DDR_49,DDL_50,DDR_50,DDL_51,DDR_51,DDL_52,DDR_52,DDL_53,DDR_53,DDL_54,DDR_54,DDL_55,DDR_55,DDL_56,DDR_56,DDL_57,DDR_57,DDL_58,DDR_58,DDL_59,DDR_59,DDL_60,DDR_60,DDL_61,DDR_61,DDL_62,DDR_62,DDL_63,DDR_63,DDL_64,DDR_64,DDL_65,DDR_65,REA_1,REA_2,REA_3,REA_4,REA_5,REA_6,REA_7,REA_8,REA_9,REA_10,REA_11,REA_12,REA_13,REA_14,REA_15,REA_16,REA_17,REA_18,REA_19,REA_20,REA_21,REA_22,REA_23,REA_24,REA_25,RDA_1,RDA_2,RDA_3,RDA_4,RDA_5,RDA_6,RDA_7,RDA_8,RDA_9,RDA_10,RDA_11,RDA_12,RDA_13,RDA_14,RDA_15,RDA_16,RDA_17,RDA_18,RDA_19,RDA_20,RDA_21,RDA_22,RDA_23,RDA_24,RDA_25,RDA_26,RDA_27,RDA_28,RDA_29,RDA_30,RDA_31,RDA_32,RDA_33,RDA_34,RDA_35,RDA_36,RDA_37,RDA_38,RDA_39,RDA_40,RDA_41,RDA_42,RDA_43,RDA_44,RDA_45,RDA_46,RDA_47,RDA_48,RDA_49,RDA_50,RDA_51,RDA_52,RDA_53,DEA_1,DEA_2,DEA_3,DEA_4,DEA_5,DEA_6,DEA_7,DEA_8,DEA_9,DEA_10,DEA_11,DEA_12,DEA_13,DEA_14,DEA_15,DEA_16,DEA_17,DEA_18,DEA_19,DEA_20,DEA_21,DEA_22,DEA_23,DEA_24,DEA_25,DEA_26,DEA_27,DEA_28,DDA_1,DDA_2,DDA_3,DDA_4,DDA_5,DDA_6,DDA_7,DDA_8,DDA_9,DDA_10,DDA_11,DDA_12,DDA_13,DDA_14,DDA_15,DDA_16,DDA_17,DDA_18,DDA_19,DDA_20,DDA_21,DDA_22,DDA_23,DDA_24,DDA_25,DDA_26,DDA_27,DDA_28,DDA_29,DDA_30,DDA_31,DDA_32,DDA_33,DDA_34,DDA_35,DDA_36,DDA_37,DDA_38,DDA_39,DDA_40,DDA_41,DDA_42,DDA_43,DDA_44,DDA_45,DDA_46,DDA_47,DDA_48,DDA_49,DDA_50,DDA_51,DDA_52,DDA_53,DDA_54,DDA_55,DDA_56,DDA_57,DDA_58,DDA_59,DDA_60,DDA_61,DDA_62,DDA_63,DDA_64,DDA_65,ideology,DEM_FT,REP_FT,ind_status,party_status,compromise,quality_check,comments,sample
4/6/23 11:39,4/6/23 11:45,100,369,R_8qVTixLCtyCja6t,1,2,32,female,f,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,94,,,,,91,,,81,,,,,,,,,81,,,91,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,91,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,91,30,1,7,5,1,"Enjoyed it, thanks.",fullstudy
3/20/23 12:21,3/20/23 12:30,100,503,R_qJSE7uciHqkUKIx,1,2,60,woman,f,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,76,,100,,,,,,,,80,,,,,77,,,,,,,,,,,,,,,86,,,,,,,77,,,,,,,,,,,,73,,,,,,,,,,,90,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,66,2,3,5,4,1,,pilot2
3/29/23 16:25,3/29/23 16:30,100,331,R_3QYG92oCGG5ASKd,1,2,47,Female ,f,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,0,0,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,81,4,5,5,1,Thank you for allowing me to participate in this study.,fullstudy
3/29/23 16:24,3/29/23 16:33,100,527,R_To6eZXDaV63KBnr,1,2,26,male,m,4,1,2,76,,,,,49,,,,,,,,42,,,63,,,,57,,,,,79,,,,,,,,,,,67,,,,,,,,,,,,,,,,,60,,,,,,,,,76,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,51,63,4,4,6,1,,fullstudy
3/30/23 11:19,3/30/23 11:22,100,169,R_2xP0Lu10czCwDav,1,2,34,male,m,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,0,0,,,,,,,,,,,,,0,0,,,1,1,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,23,3,3,6,1,,fullstudy
3/29/23 16:09,3/29/23 16:13,100,243,R_3iOpeHnUBbh8bbB,1,2,28,Male,m,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,60,,,,,39,,,,68,,,,,53,,,,,78,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,85,,,,83,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,73,10,1,4,2,1,,fullstudy
3/29/23 17:03,3/29/23 17:06,100,208,R_10DIDt5Usuh3So5,1,2,33,Male,m,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,1,1,,,,,,,,,,,,,,,0,1,,,,,,,,,,,1,1,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,63,82,5,4,5,1,,fullstudy
3/29/23 16:19,3/29/23 16:25,100,379,R_2ykN1g0OvgNXpd8,1,2,27,Female,f,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4,,4,,,,,,,,3,,4,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,3,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,35,2,2,6,1,,fullstudy
3/16/23 10:58,3/16/23 11:14,100,909,R_3kvo96XR5edUbaE,1,2,64,Female,f,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,4,,,,5,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,6,85,19,4,7,5,1,No problems or issues with this study. Thanks for the interesting study. ,pilot1
3/20/23 13:01,3/20/23 13:10,100,508,R_wN0cIJ7OddRNpE5,1,2,27,Non-binary,non-binary,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,50,,,,,50,,,,,,,50,,,70,,,,,,,80,,,,,,,,,,,,,,90,,,,,,,,,,,,,,90,,,,,,,,,,80,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,70,20,1,1,7,1,,pilot2
3/31/23 9:45,3/31/23 9:53,100,465,R_1nTpwBlRztPMbiK,1,2,65,female,f,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,2,,,,,5,,5,,,,5,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,85,1,6,5,1,,fullstudy
3/29/23 16:32,3/29/23 16:37,100,305,R_1Nk1VzHOkfR8wDu,1,2,24,female,f,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,,,,,,5,,,,,3,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,5,,,,,,,,,,,,,,,,,,,4,5,60,20,1,5,3,1,,fullstudy
