StartDate,EndDate,Progress,Duration (in seconds),ResponseId,consent,english_check,age,gender_raw,gender,party_affil,use_twitter,interact_senator,engage_1,engage_2,engage_3,engage_4,engage_5,engage_6,engage_7,engage_8,engage_9,engage_10,engage_11,engage_12,engage_13,engage_14,engage_15,engage_16,engage_17,engage_18,engage_19,engage_20,engage_21,engage_22,engage_23,engage_24,engage_25,dismiss_26,dismiss_27,dismiss_28,dismiss_29,dismiss_30,dismiss_31,dismiss_32,dismiss_33,dismiss_34,dismiss_35,dismiss_36,dismiss_37,dismiss_38,dismiss_39,dismiss_40,dismiss_41,dismiss_42,dismiss_43,dismiss_44,dismiss_45,dismiss_46,dismiss_47,dismiss_48,dismiss_49,dismiss_50,dismiss_51,dismiss_52,dismiss_53,dismiss_54,dismiss_55,dismiss_56,dismiss_57,dismiss_58,dismiss_59,dismiss_60,dismiss_61,dismiss_62,dismiss_63,dismiss_64,dismiss_65,dismiss_66,dismiss_67,dismiss_68,dismiss_69,dismiss_70,dismiss_71,dismiss_72,dismiss_73,dismiss_74,dismiss_75,dismiss_76,dismiss_77,dismiss_78,engage_79,engage_80,engage_81,engage_82,engage_83,engage_84,engage_85,engage_86,engage_87,engage_88,engage_89,engage_90,engage_91,engage_92,engage_93,engage_94,engage_95,engage_96,engage_97,engage_98,engage_99,engage_100,engage_101,engage_102,engage_103,engage_104,engage_105,engage_106,dismiss_107,dismiss_108,dismiss_109,dismiss_110,dismiss_111,dismiss_112,dismiss_113,dismiss_114,dismiss_115,dismiss_116,dismiss_117,dismiss_118,dismiss_119,dismiss_120,dismiss_121,dismiss_122,dismiss_123,dismiss_124,dismiss_125,dismiss_126,dismiss_127,dismiss_128,dismiss_129,dismiss_130,dismiss_131,dismiss_132,dismiss_133,dismiss_134,dismiss_135,dismiss_136,dismiss_137,dismiss_138,dismiss_139,dismiss_140,dismiss_141,dismiss_142,dismiss_143,dismiss_144,dismiss_145,dismiss_146,dismiss_147,dismiss_148,dismiss_149,dismiss_150,dismiss_151,dismiss_152,dismiss_153,dismiss_154,dismiss_155,dismiss_156,dismiss_157,dismiss_158,dismiss_159,dismiss_160,dismiss_161,dismiss_162,dismiss_163,dismiss_164,dismiss_165,dismiss_166,dismiss_167,dismiss_168,dismiss_169,dismiss_170,dismiss_171,dismisses,engages,dif,quality_check
1/25/22 18:44,1/25/22 18:49,100,319,R_3ltStIPNn0rY0qh,1,2,32,Female,f,2,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,80,,,,70,,,,,,75,,,,,,,,75,,,,,,,,,,,85,,,,,,95,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,80,,,,,,,,,,81,78,-3,1
1/25/22 18:39,1/25/22 18:49,100,633,R_2f3sD1qwubLyESA,1,2,33,Man,m,2,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,70,,,,70,,,,,,,70,75,,,,,,,,,,,,,50,,,,,,,,,,55,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,60,,,,,,,,,,,,70,,,,,,,59,68,9,1
1/25/22 18:46,1/25/22 18:50,100,231,R_XnsT0cQNv6fKCwp,1,2,31,female,f,3,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,52,,,,,,,95,,,,,,59,,55,,,,,,,,,,68,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,94,,,,,,,,,71,,,,,,,,,,,,,,,,,,,53,,67.2,60.8,-6.4,1
1/25/22 18:47,1/25/22 18:50,100,180,R_332SDIKDbew5oBq,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/22 18:50,1/25/22 18:51,100,20,R_25uTcBGQFcJ4CNQ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/22 18:38,1/25/22 18:51,100,729,R_1FCXGfVsiPCtyYU,1,2,39,Male,m,4,no,no,60,,,,,,,,80,,60,,,,,,50,,,,,,,70,,,,,,,55,,,,,,,,,,,,,60,,,,,,,,50,,,,,,,,,,,,,50,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,64,11,1
1/25/22 18:39,1/25/22 18:51,100,734,R_28HSAV4ePdfdHnY,1,2,22,female,f,1,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,84,,,,,,59,,,,,,62,,,,,,,,,71,,68,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,74,,,,,68,,,,,,,,,,64.2,65.2,1,1
1/25/22 18:47,1/25/22 18:52,100,325,R_3M6z3rQFYcF7pUF,1,2,28,Female,f,2,yes,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,60,,,,,,,65,,65,,,,,,70,,,,,,,,,,,,,,50,,,,,80,,,,,,,,,,,,,,,,,,50,,,,,,,,,,90,,,,,,,,,,,50,,,,,,,,,,,,64,62,-2,1
1/25/22 18:45,1/25/22 18:52,100,421,R_27jJTWQvEXWPf2p,1,2,30,30,,6,yes,yes once,,,,50,,,0,,,,,,70,,,,,50,,,,50,,,,,,,,50,,,,,,,,,60,,,,,,,,,,,,,,,,,50,,,,,,,,100,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,44,-22,1
1/25/22 18:45,1/25/22 18:52,100,418,R_3G7VPx6ygsPOxCx,1,2,41,Female,f,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,92,,,,,,,,,93,,91,,,,,,,,88,,,,,,,,,,,,,,,92,,,,,,,,,,,,95,,,,,,,,94,,,,,,,,,,,,,92,,,,,,,,,92,,,,,,,,,,,93,91.4,-1.6,1
1/25/22 18:50,1/25/22 18:54,100,225,R_3iqIefqTT5bXp5W,1,2,32,Female,f,3,yes,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,52,,,76,,,,,,,,,,59,,,,,62,,,,,,,,,,,,,48,,,,,,,67,,,,,,,,,,,,51,,,,,,,,,,,,,,,66,,,,,,,,,,,,75,,,,,,,,61.4,61.2,-0.2,1
1/25/22 18:49,1/25/22 18:55,100,351,R_1IXJNervarvi6mW,1,2,64,Female,f,1,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,100,,,100,,,,,,100,,,,,,,,100,,,,,,,,,,,,,,,,,100,,,,,,100,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,100,,,,100,100,0,1
