StartDate,EndDate,Progress,Duration (in seconds),ResponseId,consent,english_check,age,gender_raw,gender,party_affil,ideology,use_twitter,interact_senator,engage_1,engage_2,engage_3,engage_4,engage_5,engage_6,engage_7,engage_8,engage_9,engage_10,engage_11,engage_12,engage_13,engage_14,engage_15,engage_16,engage_17,engage_18,engage_19,engage_20,engage_21,engage_22,engage_23,engage_24,engage_25,dismiss_26,dismiss_27,dismiss_28,dismiss_29,dismiss_30,dismiss_31,dismiss_32,dismiss_33,dismiss_34,dismiss_35,dismiss_36,dismiss_37,dismiss_38,dismiss_39,dismiss_40,dismiss_41,dismiss_42,dismiss_43,dismiss_44,dismiss_45,dismiss_46,dismiss_47,dismiss_48,dismiss_49,dismiss_50,dismiss_51,dismiss_52,dismiss_53,dismiss_54,dismiss_55,dismiss_56,dismiss_57,dismiss_58,dismiss_59,dismiss_60,dismiss_61,dismiss_62,dismiss_63,dismiss_64,dismiss_65,dismiss_66,dismiss_67,dismiss_68,dismiss_69,dismiss_70,dismiss_71,dismiss_72,dismiss_73,dismiss_74,dismiss_75,dismiss_76,dismiss_77,dismiss_78,engage_79,engage_80,engage_81,engage_82,engage_83,engage_84,engage_85,engage_86,engage_87,engage_88,engage_89,engage_90,engage_91,engage_92,engage_93,engage_94,engage_95,engage_96,engage_97,engage_98,engage_99,engage_100,engage_101,engage_102,engage_103,engage_104,engage_105,engage_106,dismiss_107,dismiss_108,dismiss_109,dismiss_110,dismiss_111,dismiss_112,dismiss_113,dismiss_114,dismiss_115,dismiss_116,dismiss_117,dismiss_118,dismiss_119,dismiss_120,dismiss_121,dismiss_122,dismiss_123,dismiss_124,dismiss_125,dismiss_126,dismiss_127,dismiss_128,dismiss_129,dismiss_130,dismiss_131,dismiss_132,dismiss_133,dismiss_134,dismiss_135,dismiss_136,dismiss_137,dismiss_138,dismiss_139,dismiss_140,dismiss_141,dismiss_142,dismiss_143,dismiss_144,dismiss_145,dismiss_146,dismiss_147,dismiss_148,dismiss_149,dismiss_150,dismiss_151,dismiss_152,dismiss_153,dismiss_154,dismiss_155,dismiss_156,dismiss_157,dismiss_158,dismiss_159,dismiss_160,dismiss_161,dismiss_162,dismiss_163,dismiss_164,dismiss_165,dismiss_166,dismiss_167,dismiss_168,dismiss_169,dismiss_170,dismiss_171,dismisses,engages,dif,quality_check,comments
3/18/22 12:39,3/18/22 12:44,100,328,R_Xom4dvQwN6Q0z4J,1,2,20,female ,f,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,79,,,,50,,,,81,,,,,,,,,,50,,,70,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,62,,,,,,,70,,,,,,,,,,,62.6,62,-0.6,1,
3/18/22 12:41,3/18/22 12:46,100,300,R_1g28bpiBzheewBV,1,2,34,male,m,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,30,,,,,,80,,,,35,,,,25,,,,,,,,,,,,,,70,,,,,,,,,,,,,,90,,,60,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,95,,,,,,76,36,-40,1,
3/18/22 12:42,3/18/22 12:48,100,395,R_1q7GKo0iMUu0lc2,1,2,26,female,f,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,59,,,,,,,100,,,,,,35,,,,,,,42,,,,,,,100,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,70,29,,,,,,,,,,,,,68,,,,,,,,,,,,,63.4,64,0.6,1,
3/18/22 12:43,3/18/22 12:49,100,346,R_1gchWFjzXMY8ewR,1,2,35,Female,f,4,5,1,1,,,70,,,,80,,,,60,,,,,50,,,,,,65,,,,40,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,60,,,,,,,40,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,65,18,1,
3/18/22 12:50,3/18/22 12:51,100,29,R_1GPNBi5SPiwvQF2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/22 12:57,3/18/22 12:57,100,26,R_3V0FpY1QVd6N5st,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/22 12:51,3/18/22 13:00,100,511,R_2qwkRpLwNU67Aic,1,2,42,female,f,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80,,,,,,,,,,60,,,,40,,,,,,,50,,,,,,,,70,,,,,,,,,,,,,,,,,,80,,,,,,,,,90,,,,,,,,,,,,,80,,,,,,,,,,90,,,,,,,,82,46,-36,1,
3/18/22 13:00,3/18/22 13:04,100,260,R_2woAmhdjpzSYCsN,1,2,34,agender,agender,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,1,,,,52,,,,,,,,,,32,,,,,17,,,,,,,78,,,,,,,,,,,,27,,,,,,,,,39,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,83,,,,,,,49.6,24.4,-25.2,1,
3/18/22 12:58,3/18/22 13:07,100,525,R_2wyvj0GMrmPO2vd,1,2,20,male,m,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,70,,,,,,,,80,85,,,,,,60,,,,,,,,,,,,,,,,,80,,,,,,,65,,,,,,,,,,,,,,,,80,,,,,,,,,,,60,,,,,,,75,,,,,,,,,,,,72,77,5,1,
3/18/22 13:04,3/18/22 13:08,100,259,R_2fuq3yK2PmS4Yhz,1,2,31,Male,m,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,75,,,,,,,,,,0,100,,,,,,,100,,,,,100,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,70,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,100,,,90.2,75,-15.2,1,
3/18/22 13:04,3/18/22 13:08,100,257,R_XplI7maOjBLndwB,1,2,24,Male,m,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,85,90,,,,,,,83,,,,,,,,,97,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,100,,,,,,,,,,100,,,,,,99.2,89.2,-10,1,
3/18/22 13:00,3/18/22 13:08,100,479,R_z2tNXECeFBFgV3z,1,2,54,female,f,4,5,1,2,,,,,78,,,,53,,,54,,,,,50,,,,,,,,64,,,,,,,,25,,,,,,,,13,,,,,,,,,,16,,,,,,,,,,,,,20,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,59.8,41.8,1,
3/18/22 12:53,3/18/22 13:08,100,896,R_2Ui7umQtBb4aELD,1,2,39,female,f,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,85,,,,90,,,,,85,,,,60,,,,,,,,100,,,,,,,,,,,85,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,100,,90,,,,,,,,,,,,,95,74,-21,1,
3/18/22 13:04,3/18/22 13:08,100,263,R_1DnZoWDa3mdYPxG,1,2,30,female,f,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,60,,,,60,,,,,,,,60,61,,,,,,,,,60,,,,,,,,,,,,,,,60,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,,,,,,,,,,56,60.2,4.2,1,
3/18/22 13:10,3/18/22 13:10,100,20,R_2B3AbmQuxfHS6Kv,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/22 12:56,3/18/22 13:10,100,811,R_3NVf5NJRubkRCtv,1,2,31,Female,f,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,53,,,4,,,,,,20,,,,,,54,,,,,,,,,,,51,,,,,,,,,,,,,72,,,,,,,,,,,79,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,36,60.8,37.6,-23.2,1,Loved it!
3/18/22 13:05,3/18/22 13:10,100,295,R_1r3blSlmuxCY7lc,1,2,28,female,f,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,83,,,,89,,,,,,82,,,,,,,,69,,,,,,,64,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,82,,,,,,,,,,,,70,,,,,,,,,,,,,78,,,,74.4,78.4,4,1,
3/18/22 13:04,3/18/22 13:10,100,362,R_30iqJFTDpmtoswN,1,2,52,female,f,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,100,,,,,,,,60,,,,,81,,,60,,,,,,,,,,,,,,,,87,,,,,,90,,,,,,,,,,,,,,,90,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,89,,88.6,76.2,-12.4,1,
3/18/22 13:01,3/18/22 13:11,100,611,R_2qvEKHStepnRJV5,1,2,29,Female,f,4,4,1,3,,,,82,,,,,63,,,82,,,,90,,,,,,,40,,,,,,,,82,,,,,,,,,72,,,,,,,,,,,,,,,,,60,,,,,,,,,,50,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8,71.4,0.6,1,I had no issues while taking the study technical or otherwise. 
3/18/22 12:56,3/18/22 13:11,100,883,R_SBmLgOtfzjGEcoN,1,2,30,Female,f,4,4,1,2,,,,77,,82,,,,,,,,66,,,,,79,,,,,88,,,,,,,,,,,57,,,,66,,,,,,,,,,,,,,,,,,51,51,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,78.4,28.4,1,
3/18/22 13:07,3/18/22 13:11,100,265,R_3dAU1HfHP6Ev5GF,1,2,20,female ,f,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,77,,,,,,,,,,80,,,,52,,,,,91,,,,,,,,,,51,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,86,,,,94,,,,,,,,,,,,,,,,,,9,,,,,58,70,12,1,
3/18/22 13:06,3/18/22 13:11,100,340,R_2R2gVgLn5sdhYYu,1,2,38,Female,f,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,70,,,60,,,,,,,,50,,65,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,80,,,60,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,80,,,,,,74,62,-12,1,
3/18/22 13:05,3/18/22 13:11,100,387,R_2EucKbdPPgeQ6yp,1,2,28,female,f,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,60,,,,,,,60,,,80,,,,,,,,80,,,,,,,,,,,75,,,,,,,,75,,,,,,,,,,,,,,,,,,,,90,,75,,,,,,,,,,,,,,,,,90,,,,,,,,,81,69,-12,1,
3/18/22 13:00,3/18/22 13:12,100,740,R_1LAqpeQ4saRV0yu,1,2,40,male,m,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,50,,,,50,,,,,,,,,60,,,,55,,,,,,,,,,49,,,,,,,,,,,,,,,,,50,,,,,,,,,,50,,,,,,,50,,,,,,,,,,,,,,,55,,,,,,,,,,50.8,54,3.2,1,
3/18/22 13:06,3/18/22 13:12,100,374,R_2dm5Rjye9K1xkCq,1,2,29,female,f,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100,,100,,,,,,,,100,,,100,,,,,,,,,,,,20,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,68,100,32,1,
3/18/22 13:07,3/18/22 13:13,100,407,R_1EjmG259gTUL3RF,1,2,41,female,f,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,49,,,,,,81,,,,,80,,,,,100,,,,,,,,,,,,,81,,,,,,,,,,19,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,9,,,,,68,,,,,,,,,,,,51.6,82,30.4,1,"Though I do view news outlets of various sides I try not to follow politics on any social media platforms. Those are my safe, happy places. "
3/18/22 13:01,3/18/22 13:16,100,883,R_1kXfx7Jul1STvdn,1,2,53,Male,m,4,4,2,1,,80,,,,,,,,100,,,85,,,,,,100,,80,,,,,80,,,,,,,,,,,,,,,,85,,,,,,,,,,,100,,,,,,,,,,,,85,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,89,-1,1,
3/18/22 13:15,3/18/22 13:18,100,220,R_3Mzi1UD0VHcnpJ5,1,2,22,nonbinary,non-binary ,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,71,,,,,50,,,,,,50,,50,,,,,,,,,,,50,,,,,,,,,50,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,50,,,,,,,,50,,,,,,,,,,,,,50,58.4,8.4,1,
3/18/22 13:17,3/18/22 13:19,100,125,R_3MbayqyxnArr8he,1,2,24,F,f,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,67,,,,32,,,,,,47,,,,,24,,,,,30,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,66,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,59,55.2,44,-11.2,1,
3/18/22 13:17,3/18/22 13:19,100,75,R_25ELv1PKTjK941P,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/22 13:16,3/18/22 13:21,100,343,R_2EFYY2uSqUWzzU2,1,2,26,Female,f,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,41,,,,60,,,,,,,,,59,,,,,,,70,,,60,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,60,,,,,,,,,24,,,,,,,,,,,,,,34,,,,,,,,51.8,49.8,-2,1,
3/18/22 13:13,3/18/22 13:21,100,497,R_C15YAgTWuLbvxeN,1,2,41,male,m,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,75,,,,,,90,,,,,60,,,,91,,,,,,60,,,,,,,,,,81,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,88.2,77.2,-11,1,
3/18/22 13:06,3/18/22 13:22,100,1001,R_3IPI9ndQ6HzZIEJ,1,2,66,female,f,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,82,,,,91,,,,,,90,,,,,,,,,81,,,,,,91,,,,,,,,,,,,,,,,,,,81,,,,,,,40,,,,,,,,,,,,,,,91,,,,,,,,,91,,,,,,,,,,,78.8,87.2,8.4,1,
3/18/22 13:18,3/18/22 13:23,100,304,R_1FRkqJ8WlEnSp8c,1,2,18,female,f,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,48,,,,,,,,,40,,,,,,35,,,,,,40,,,,,,,,,,,,,54,,,,,,,,,,54,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,50,,,,,,,67,,,,,,,55,38.2,-16.8,1,"I don't appreciate the narrow political scope of the choices. I think outside the American center-right Overton window, and I only chose ""liberal"" and ""Democrat"" because I had to. I am a socialist, and I hold no positive affinity for either mainstream US political parties because they are racist, capitalist, and imperialist."
3/18/22 13:07,3/18/22 13:24,100,998,R_2xzvYJxCQ2eCznt,1,2,57,female,f,5,7,1,1,,,51,,,,50,,,,55,,,,,,51,,,,,65,,,,,,,,,76,,,,,,,,,,,,80,,,,100,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2,54.4,-36.8,1,
