StartDate,EndDate,Progress,Duration (in seconds),ResponseId,consent,english_check,age,gender_raw,gender,party_affil,use_twitter,interact_senator,RE_1,RE_2,RE_3,RE_4,RE_5,RE_6,RE_7,RE_8,RE_9,RE_10,RE_11,RE_12,RE_13,RE_14,RE_15,RE_16,RE_17,RE_18,RE_19,RE_20,RE_21,RE_22,RE_23,RE_24,RE_25,RD_1,RD_2,RD_3,RD_4,RD_5,RD_6,RD_7,RD_8,RD_9,RD_10,RD_11,RD_12,RD_13,RD_14,RD_15,RD_16,RD_17,RD_18,RD_19,RD_20,RD_21,RD_22,RD_23,RD_24,RD_25,RD_26,RD_27,RD_28,RD_29,RD_30,RD_31,RD_32,RD_33,RD_34,RD_35,RD_36,RD_37,RD_38,RD_39,RD_40,RD_41,RD_42,RD_43,RD_44,RD_45,RD_46,RD_47,RD_48,RD_49,RD_50,RD_51,RD_52,RD_53,DE_1,DE_2,DE_3,DE_4,DE_5,DE_6,DE_7,DE_8,DE_9,DE_10,DE_11,DE_12,DE_13,DE_14,DE_15,DE_16,DE_17,DE_18,DE_19,DE_20,DE_21,DE_22,DE_23,DE_24,DE_25,DE_26,DE_27,DE_28,DD_1,DD_2,DD_3,DD_4,DD_5,DD_6,DD_7,DD_8,DD_9,DD_10,DD_11,DD_12,DD_13,DD_14,DD_15,DD_16,DD_17,DD_18,DD_19,DD_20,DD_21,DD_22,DD_23,DD_24,DD_25,DD_26,DD_27,DD_28,DD_29,DD_30,DD_31,DD_32,DD_33,DD_34,DD_35,DD_36,DD_37,DD_38,DD_39,DD_40,DD_41,DD_42,DD_43,DD_44,DD_45,DD_46,DD_47,DD_48,DD_49,DD_50,DD_51,DD_52,DD_53,DD_54,DD_55,DD_56,DD_57,DD_58,DD_59,DD_60,DD_61,DD_62,DD_63,DD_64,DD_65,ideology,DEM_FT,REP_FT,ind_status,party_status,compromise,quality_check,comments
3/30/23 14:15,3/30/23 14:22,100,451,R_PXkvh1qn1JSWExP,1,2,44,Male,male,3,1,1,,,,1,,,,1,,,1,,,,,,,,1,,1,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,5,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62,70,4,5,6,1,
3/30/23 14:19,3/30/23 14:23,100,205,R_3PpNWZxbupSYDXX,1,2,50,Female,female,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,1,1,,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,7,100,1,1,6,6,1,
3/30/23 14:18,3/30/23 14:23,100,302,R_3P80PaoiDKa05RN,1,2,24,Male,male,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,2,,,,2,,,3,,,,,,,,,,,,4,,,,,,,,,,,,,,,,5,,,,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,7,44,26,3,2,5,1,
3/30/23 14:22,3/30/23 14:25,100,190,R_3F2vC7x8Bo9JN3n,1,2,33,male,male,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,3,,,1,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,1,,,,,,5,50,50,4,4,4,1,
3/30/23 14:18,3/30/23 14:25,100,414,R_1LbWN6DW4hQ3FEl,1,2,36,Male,male,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,2,,,,,,,2,,,,,,,,,,,,,,5,,,,3,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,6,15,5,2,4,5,1,
3/30/23 14:22,3/30/23 14:26,100,235,R_2YGilShp0tRppZh,1,2,25,female,female,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,2,,,,,,,,,,3,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,6,68,23,1,6,4,1,
3/30/23 14:24,3/30/23 14:27,100,177,R_1doYlbLruB8SNW6,1,2,22,Female,female,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,3,,,,,,,,,2,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,3,,,,,,5,,,,,,,,,,,,,7,90,10,5,6,3,1,
3/30/23 14:22,3/30/23 14:28,100,335,R_ZEJNzgBfvTtyvAJ,1,2,54,Male,male,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,3,,,3,,,,,,,2,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,,,,4,,,,,,,,,,5,60,55,2,6,6,1,
3/30/23 14:24,3/30/23 14:29,100,332,R_308cxOQIbWzQ2QR,1,2,32,agender,agender,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,1,,,,,,,1,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,5,,,,,,,,,,,4,,,,,,,4,,,,,,,,,7,31,9,2,7,3,1,
3/30/23 14:27,3/30/23 14:30,100,205,R_2rACZHoOhaKOYQd,1,2,34,Male,male,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,2,,,,,3,,,,,,1,,,,,,,,,,5,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,5,6,80,5,3,6,5,1,
3/30/23 14:25,3/30/23 14:30,100,312,R_2zdcntitjoQjb6z,1,2,22,Male,male,3,1,1,,2,,,,,,,,1,,,,,1,,1,,,,,,2,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,40,65,3,5,6,1,
3/30/23 14:27,3/30/23 14:30,100,202,R_1nOwZoXwOl7wCtw,1,2,39,Male,male,3,1,1,,2,,,,,,,5,,,,,2,,,,,4,,,3,,,,,,,,,,,,,5,,,,5,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,33,5,5,5,1,
3/30/23 14:26,3/30/23 14:30,100,275,R_2c7xB2my29QPnfo,1,2,31,female,female,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,4,1,1,2,1,7,1,
3/30/23 14:26,3/30/23 14:31,100,250,R_3NJlsUCq1IDeiBo,1,2,24,Female,female,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,4,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,4,,,,7,93,0,2,7,2,1,
3/30/23 14:27,3/30/23 14:31,100,214,R_3HY9lC8OR5pYesO,1,2,57,Female,female,3,2,1,,,,,1,,5,,,,1,,,,,,,5,,,1,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49,61,1,7,7,1,
3/30/23 14:23,3/30/23 14:31,100,499,R_3phaaEDDSQLblQa,1,2,64,Male,male,3,2,1,,,2,,,1,,,,,,,,,1,,,,,1,1,,,,,,,,,5,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,1,1,5,1,
3/30/23 14:24,3/30/23 14:31,100,446,R_1esDeBuDu8FDJyx,1,2,62,Female,female,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,2,,,2,,,1,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,,,,6,95,5,1,5,5,1,
3/30/23 14:28,3/30/23 14:31,100,219,R_1LbBZfP9rv7arfB,1,2,40,male,male,3,1,1,,,,1,,,,2,,,,1,,,,,2,,,,,,,1,,,5,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,64,63,5,3,6,1,
3/30/23 14:25,3/30/23 14:31,100,384,R_2amLY6VVstTd0jg,1,2,42,female,female,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,4,,,,2,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,7,60,6,5,5,4,1,
3/30/23 14:26,3/30/23 14:32,100,383,R_2CkaUDJCbKy7Bh0,1,2,47,male,male,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,3,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,5,,,,,7,71,15,2,6,2,1,
3/30/23 14:27,3/30/23 14:32,100,299,R_32RqnhPPcGhcjbE,1,2,18,Female,female,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,4,,,,,,,,,,2,1,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,5,76,49,2,5,6,1,
3/30/23 14:24,3/30/23 14:33,100,515,R_28Unfo2IoydRkGK,1,2,51,female,female,2,2,1,,,1,,,,,,1,,,,1,,,,,,,1,,1,,,,,,,,,,,,5,,,,,,,,,,,,3,,,,,,,,5,,,,,,5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,80,1,4,4,1,
3/30/23 14:29,3/30/23 14:33,100,264,R_3pih3CHr3o8Le3T,1,2,30,Male,male,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,2,,,,,1,,,,,,1,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,5,,,,,,,,7,75,1,4,7,6,1,I think this is a well put together survey.
3/30/23 14:23,3/30/23 14:34,100,676,R_1K47q7t9Zp1NZRk,1,2,46,Male,male,3,2,1,3,,,,,,,,1,,,2,,,,3,,,,,,,5,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,80,1,1,4,1,
3/30/23 14:30,3/30/23 14:34,100,287,R_1QtKEqskcjlEg3h,1,2,33,Male,male,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,,1,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,5,60,10,2,5,6,1,N/A
3/30/23 14:31,3/30/23 14:35,100,233,R_3fC1LbuTu632z1d,1,2,68,,,3,1,1,,2,,,,,,1,,,,,,,1,,,2,,,,,,2,,,,5,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,9,1,5,7,1,I enjoyed your thought provokeing survye on us leaders using twitter and theirpolitica attitudes regarding bepartisanship
3/30/23 14:32,3/30/23 14:35,100,178,R_1I5cRaEmRIJnXIm,1,2,22,female,female,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,2,,,,,2,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,4,81,68,3,5,5,1,
3/30/23 14:29,3/30/23 14:35,100,354,R_1Iag6ncCEfKtAPB,1,2,30,female,female,3,1,2,,,2,,,,2,,,,1,,,,,,,,,1,,,,,1,,,,,,,,5,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,55,3,5,5,1,NA
3/30/23 14:29,3/30/23 14:35,100,377,R_2WYHwAwqIcQVxo4,1,2,66,male,male,3,1,1,,,,,2,,,,,4,,1,,,,,3,,,,,,,,2,,,,,,5,,,,,,5,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,60,1,7,7,1,
3/30/23 14:32,3/30/23 14:36,100,209,R_31LqKVBqrcUfnJg,1,2,44,female,female,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,2,,,,1,,,,,,,,3,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,4,62,31,1,3,7,1,This was an interesting study.
3/30/23 14:32,3/30/23 14:36,100,269,R_12bThQGyIfam9nv,1,2,21,Male,male,3,1,2,2,,,,,,,,,3,,,,1,,1,,,,,,,2,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,45,50,1,2,5,1,
3/30/23 14:32,3/30/23 14:36,100,254,R_1Ng1OfqKz0FiPfG,1,2,38,Male,male,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,1,,,,,,,,3,,,,,,3,,,,,,5,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,5,,,,,4,20,15,2,3,4,1,
3/30/23 14:28,3/30/23 14:37,100,517,R_1F3WUGE17kSVyKz,1,2,32,32,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,2,,2,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,7,32,0,1,6,3,1,
3/30/23 14:31,3/30/23 14:37,100,323,R_3hGFHIAjGnLVxIL,1,2,41,Male,male,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,3,,,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,6,95,10,2,7,7,1,
3/30/23 14:34,3/30/23 14:37,100,141,R_1pRTY03F0AGtS22,1,2,55,male,male,3,1,2,3,,,,,2,,,,,,,3,,,,,,,2,,3,,,,,,,,,,,,,4,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,31,2,3,6,1,
3/30/23 14:30,3/30/23 14:38,100,498,R_1QhWCdeC1MIPKqC,1,2,39,male,male,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,,1,2,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,4,,,,,,,,,,,,4,29,35,3,4,7,1,
3/30/23 14:35,3/30/23 14:38,100,200,R_yqDrKOZrMY2Sq2J,1,2,32,Male,male,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,2,,,1,,,,,,2,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,4,0,0,5,3,7,1,
